Evaluacion,Costo,Puntaje_YOLO,Penalizacion_Obs,Penalizacion_Dist,Penalizacion_Suav,Distancia_Teorica,Tiempo_Vuelo,x0,y0,z0,yaw0,x1,y1,z1,yaw1,x2,y2,z2,yaw2,x3,y3,z3,yaw3,x4,y4,z4,yaw4,x5,y5,z5,yaw5,x6,y6,z6,yaw6,x7,y7,z7,yaw7,x8,y8,z8,yaw8,x9,y9,z9,yaw9,x10,y10,z10,yaw10,x11,y11,z11,yaw11,x12,y12,z12,yaw12,x13,y13,z13,yaw13
1,-20.314136279134495,9.357725759347279,0.0,0.0,0.0,12.461172301553605,17.0,-0.4142135623730949,-0.41421356237309515,0.45,0.7853981633974484,0.33944187608966603,-0.8877666606167351,0.45,1.234197113910276,1.223928952206616,-0.9874244197864852,0.45,1.6829960644231037,2.064064153030673,-0.6934483984565682,0.45,2.131795014935931,2.6934483984565682,-0.06406415303067314,0.45,2.5805939654487586,2.9874244197864854,0.7760710477933843,0.45,3.029392915961586,2.887766660616735,1.6605581239103342,0.45,-2.8049934407051724,2.414213562373095,2.414213562373095,0.45,-2.356194490192345,1.6605581239103344,2.887766660616735,0.45,-1.9073955396795175,0.7760710477933844,2.9874244197864854,0.45,-1.4585965891666899,-0.06406415303067292,2.6934483984565682,0.45,-1.009797638653862,-0.6934483984565682,2.0640641530306736,0.45,-0.5609986881410347,-0.9874244197864852,1.223928952206616,0.45,-0.112199737628207,-0.8877666606167351,0.33944187608966614,0.45,0.3365992128846206
2,-20.08762323768084,9.375804232226479,0.0,0.0,0.0,12.869900610887784,17.400000000000002,0.5857864376269051,-0.41421356237309515,0.45,1.2858722001728344,0.33944187608966603,-0.8877666606167351,0.45,1.234197113910276,1.223928952206616,-0.9874244197864852,0.45,1.6829960644231037,2.064064153030673,-0.6934483984565682,0.45,2.131795014935931,2.6934483984565682,-0.06406415303067314,0.45,2.5805939654487586,2.9874244197864854,0.7760710477933843,0.45,3.029392915961586,2.887766660616735,1.6605581239103342,0.45,-2.8049934407051724,2.414213562373095,2.414213562373095,0.45,-2.356194490192345,1.6605581239103344,2.887766660616735,0.45,-1.9073955396795175,0.7760710477933844,2.9874244197864854,0.45,-1.4585965891666899,-0.06406415303067292,2.6934483984565682,0.45,-1.009797638653862,-0.6934483984565682,2.0640641530306736,0.45,-0.5609986881410347,-0.9874244197864852,1.223928952206616,0.45,-0.112199737628207,-0.8877666606167351,0.33944187608966614,0.45,0.3365992128846206
3,-20.43404653344364,9.554061512152353,0.0,0.0,0.0,12.869900610887784,18.52,-0.4142135623730949,0.5857864376269049,0.45,0.28492412662206246,0.33944187608966603,-0.8877666606167351,0.45,1.234197113910276,1.223928952206616,-0.9874244197864852,0.45,1.6829960644231037,2.064064153030673,-0.6934483984565682,0.45,2.131795014935931,2.6934483984565682,-0.06406415303067314,0.45,2.5805939654487586,2.9874244197864854,0.7760710477933843,0.45,3.029392915961586,2.887766660616735,1.6605581239103342,0.45,-2.8049934407051724,2.414213562373095,2.414213562373095,0.45,-2.356194490192345,1.6605581239103344,2.887766660616735,0.45,-1.9073955396795175,0.7760710477933844,2.9874244197864854,0.45,-1.4585965891666899,-0.06406415303067292,2.6934483984565682,0.45,-1.009797638653862,-0.6934483984565682,2.0640641530306736,0.45,-0.5609986881410347,-0.9874244197864852,1.223928952206616,0.45,-0.112199737628207,-0.8877666606167351,0.33944187608966614,0.45,0.3365992128846206
4,154.55976974381028,9.134866999991146,0.0,173.71942490589882,0.0,12.767838475766252,18.44,-0.4142135623730949,0.5857864376269049,0.45,0.28492412662206246,1.339441876089666,-0.8877666606167351,0.45,1.748706531692379,1.223928952206616,-0.9874244197864852,0.45,1.6829960644231037,2.064064153030673,-0.6934483984565682,0.45,2.131795014935931,2.6934483984565682,-0.06406415303067314,0.45,2.5805939654487586,2.9874244197864854,0.7760710477933843,0.45,3.029392915961586,2.887766660616735,1.6605581239103342,0.45,-2.8049934407051724,2.414213562373095,2.414213562373095,0.45,-2.356194490192345,1.6605581239103344,2.887766660616735,0.45,-1.9073955396795175,0.7760710477933844,2.9874244197864854,0.45,-1.4585965891666899,-0.06406415303067292,2.6934483984565682,0.45,-1.009797638653862,-0.6934483984565682,2.0640641530306736,0.45,-0.5609986881410347,-0.9874244197864852,1.223928952206616,0.45,-0.112199737628207,-0.8877666606167351,0.33944187608966614,0.45,0.3365992128846206
5,410.1656627167001,0.0,90.16566271670013,0.0,0.0,12.626028877452432,0.0,-0.4142135623730949,0.5857864376269049,0.45,0.28492412662206246,0.33944187608966603,0.11223333938326485,0.45,0.9311029842308575,1.223928952206616,-0.9874244197864852,0.45,1.6829960644231037,2.064064153030673,-0.6934483984565682,0.45,2.131795014935931,2.6934483984565682,-0.06406415303067314,0.45,2.5805939654487586,2.9874244197864854,0.7760710477933843,0.45,3.029392915961586,2.887766660616735,1.6605581239103342,0.45,-2.8049934407051724,2.414213562373095,2.414213562373095,0.45,-2.356194490192345,1.6605581239103344,2.887766660616735,0.45,-1.9073955396795175,0.7760710477933844,2.9874244197864854,0.45,-1.4585965891666899,-0.06406415303067292,2.6934483984565682,0.45,-1.009797638653862,-0.6934483984565682,2.0640641530306736,0.45,-0.5609986881410347,-0.9874244197864852,1.223928952206616,0.45,-0.112199737628207,-0.8877666606167351,0.33944187608966614,0.45,0.3365992128846206
6,61.819855874548544,9.78494605605985,0.0,82.68394045061586,0.0,13.311485606648393,18.96,-0.4142135623730949,0.5857864376269049,0.45,0.28492412662206246,0.33944187608966603,-0.8877666606167351,0.45,1.234197113910276,2.2239289522066157,-0.9874244197864852,0.45,2.1227791704627705,2.064064153030673,-0.6934483984565682,0.45,2.131795014935931,2.6934483984565682,-0.06406415303067314,0.45,2.5805939654487586,2.9874244197864854,0.7760710477933843,0.45,3.029392915961586,2.887766660616735,1.6605581239103342,0.45,-2.8049934407051724,2.414213562373095,2.414213562373095,0.45,-2.356194490192345,1.6605581239103344,2.887766660616735,0.45,-1.9073955396795175,0.7760710477933844,2.9874244197864854,0.45,-1.4585965891666899,-0.06406415303067292,2.6934483984565682,0.45,-1.009797638653862,-0.6934483984565682,2.0640641530306736,0.45,-0.5609986881410347,-0.9874244197864852,1.223928952206616,0.45,-0.112199737628207,-0.8877666606167351,0.33944187608966614,0.45,0.3365992128846206
7,551.2537700587311,0.0,231.25377005873116,0.0,0.0,13.449252520141947,0.0,-0.4142135623730949,0.5857864376269049,0.45,0.28492412662206246,0.33944187608966603,-0.8877666606167351,0.45,1.234197113910276,1.223928952206616,0.012575580213514792,0.45,1.7938051628421074,2.064064153030673,-0.6934483984565682,0.45,2.131795014935931,2.6934483984565682,-0.06406415303067314,0.45,2.5805939654487586,2.9874244197864854,0.7760710477933843,0.45,3.029392915961586,2.887766660616735,1.6605581239103342,0.45,-2.8049934407051724,2.414213562373095,2.414213562373095,0.45,-2.356194490192345,1.6605581239103344,2.887766660616735,0.45,-1.9073955396795175,0.7760710477933844,2.9874244197864854,0.45,-1.4585965891666899,-0.06406415303067292,2.6934483984565682,0.45,-1.009797638653862,-0.6934483984565682,2.0640641530306736,0.45,-0.5609986881410347,-0.9874244197864852,1.223928952206616,0.45,-0.112199737628207,-0.8877666606167351,0.33944187608966614,0.45,0.3365992128846206
8,-20.985139777472792,9.905918745347012,0.0,0.0,0.0,13.6836004152753,19.36,-0.4142135623730949,0.5857864376269049,0.45,0.28492412662206246,0.33944187608966603,-0.8877666606167351,0.45,1.234197113910276,1.223928952206616,-0.9874244197864852,0.45,1.6829960644231037,3.064064153030673,-0.6934483984565682,0.45,2.4545097635512616,2.6934483984565682,-0.06406415303067314,0.45,2.5805939654487586,2.9874244197864854,0.7760710477933843,0.45,3.029392915961586,2.887766660616735,1.6605581239103342,0.45,-2.8049934407051724,2.414213562373095,2.414213562373095,0.45,-2.356194490192345,1.6605581239103344,2.887766660616735,0.45,-1.9073955396795175,0.7760710477933844,2.9874244197864854,0.45,-1.4585965891666899,-0.06406415303067292,2.6934483984565682,0.45,-1.009797638653862,-0.6934483984565682,2.0640641530306736,0.45,-0.5609986881410347,-0.9874244197864852,1.223928952206616,0.45,-0.112199737628207,-0.8877666606167351,0.33944187608966614,0.45,0.3365992128846206
9,-7.199608786823612,9.427710003323025,0.0,12.133357152267793,0.0,13.863412143084549,19.52,-0.4142135623730949,0.5857864376269049,0.45,0.28492412662206246,0.33944187608966603,-0.8877666606167351,0.45,1.234197113910276,1.223928952206616,-0.9874244197864852,0.45,1.6829960644231037,3.064064153030673,0.30655160154343175,0.45,2.8174776116553186,2.6934483984565682,-0.06406415303067314,0.45,2.5805939654487586,2.9874244197864854,0.7760710477933843,0.45,3.029392915961586,2.887766660616735,1.6605581239103342,0.45,-2.8049934407051724,2.414213562373095,2.414213562373095,0.45,-2.356194490192345,1.6605581239103344,2.887766660616735,0.45,-1.9073955396795175,0.7760710477933844,2.9874244197864854,0.45,-1.4585965891666899,-0.06406415303067292,2.6934483984565682,0.45,-1.009797638653862,-0.6934483984565682,2.0640641530306736,0.45,-0.5609986881410347,-0.9874244197864852,1.223928952206616,0.45,-0.112199737628207,-0.8877666606167351,0.33944187608966614,0.45,0.3365992128846206
10,-20.992173227991994,9.987961563063257,0.0,0.0,0.0,14.05060754762086,19.72,-0.4142135623730949,0.5857864376269049,0.45,0.28492412662206246,0.33944187608966603,-0.8877666606167351,0.45,1.234197113910276,1.223928952206616,-0.9874244197864852,0.45,1.6829960644231037,3.064064153030673,-0.6934483984565682,0.45,2.4545097635512616,3.6934483984565682,-0.06406415303067314,0.45,2.765355211812897,2.9874244197864854,0.7760710477933843,0.45,3.029392915961586,2.887766660616735,1.6605581239103342,0.45,-2.8049934407051724,2.414213562373095,2.414213562373095,0.45,-2.356194490192345,1.6605581239103344,2.887766660616735,0.45,-1.9073955396795175,0.7760710477933844,2.9874244197864854,0.45,-1.4585965891666899,-0.06406415303067292,2.6934483984565682,0.45,-1.009797638653862,-0.6934483984565682,2.0640641530306736,0.45,-0.5609986881410347,-0.9874244197864852,1.223928952206616,0.45,-0.112199737628207,-0.8877666606167351,0.33944187608966614,0.45,0.3365992128846206
